排名,詞彙,出現次數
1,一別一千,1
2,別一千日,1
3,一千日一,1
4,千日一日,1
5,日一日十,1
6,一日十二,1
7,日十二憶,1
8,十二憶苦,1
9,二憶苦心,1
10,憶苦心無,1
11,苦心無閒,1
12,心無閒時,1
13,無閒時今,1
14,閒時今夕,1
15,時今夕見,1
16,今夕見玉,1
17,夕見玉色,1
18,見玉色玉,1
19,玉色玉色,1
20,色玉色複,1
21,玉色複何,1
22,色複何異,1
23,複何異弘,1
24,何異弘明,1
25,異弘明含,1
26,弘明含群,1
27,明含群德,1
28,含群德有,1
29,群德有文,1
30,德有文如,1
31,有文如星,1
32,文如星宿,1
33,如星宿飛,1
34,星宿飛入,1
35,宿飛入我,1
36,飛入我胸,1
37,入我胸臆,1
38,我胸臆憂,1
39,胸臆憂愁,1
40,臆憂愁方,1
41,憂愁方破,1
42,愁方破壞,1
43,方破壞歡,1
44,破壞歡喜,1
45,壞歡喜重,1
46,歡喜重補,1
47,喜重補塞,1
48,重補塞使,1
49,補塞使我,1
50,塞使我心,1
51,使我心貌,1
52,我心貌全,1
53,心貌全且,1
54,貌全且非,1
55,全且非黃,1
56,且非黃金,1
57,非黃金力,1
58,黃金力將,1
59,金力將攀,1
60,力將攀下,1
61,將攀下風,1
62,攀下風手,1
63,下風手願,1
64,風手願假,1
65,手願假仙,1
66,願假仙鸞,1
67,假仙鸞翼,1
68,仙鸞翼我,1
69,鸞翼我有,1
70,翼我有古,1
71,我有古時,1
72,有古時鏡,1
73,古時鏡初,1
74,時鏡初自,1
75,鏡初自壞,1
76,初自壞陵,1
77,自壞陵得,1
78,壞陵得蛟,1
79,陵得蛟龍,1
80,得蛟龍猶,1
81,蛟龍猶泥,1
82,龍猶泥蟠,1
83,猶泥蟠魑,1
84,泥蟠魑魅,1
85,蟠魑魅幸,1
86,魑魅幸月,1
87,魅幸月蝕,1
88,幸月蝕摩,1
89,月蝕摩久,1
90,蝕摩久見,1
91,摩久見菱,1
92,久見菱蕊,1
93,見菱蕊青,1
94,菱蕊青于,1
95,蕊青于藍,1
96,青于藍水,1
97,于藍水色,1
98,藍水色贈,1
99,水色贈君,1
100,色贈君將,1
101,贈君將照,1
102,君將照色,1
103,將照色無,1
104,照色無使,1
105,色無使心,1
106,無使心受,1
107,使心受惑,1
108,心受惑藤,1
109,受惑藤生,1
110,惑藤生南,1
111,藤生南海,1
112,生南海濱,1
113,南海濱引,1
114,海濱引蔓,1
115,濱引蔓青,1
116,引蔓青且,1
117,蔓青且長,1
118,青且長剪,1
119,且長剪削,1
120,長剪削為,1
121,剪削為花,1
122,削為花枝,1
123,為花枝何,1
124,花枝何人,1
125,枝何人無,1
126,何人無文,1
127,人無文章,1
128,無文章非,1
129,文章非才,1
130,章非才亦,1
131,非才亦有,1
132,才亦有心,1
133,亦有心割,1
134,有心割骨,1
135,心割骨聞,1
136,割骨聞餘,1
137,骨聞餘芳,1
138,聞餘芳繁,1
139,餘芳繁葉,1
140,芳繁葉落,1
141,繁葉落何,1
142,葉落何處,1
143,落何處孤,1
144,何處孤貞,1
145,處孤貞在,1
146,孤貞在中,1
147,貞在中央,1
148,在中央願,1
149,中央願盛,1
150,央願盛黃,1
151,願盛黃金,1
152,盛黃金膏,1
153,黃金膏寄,1
154,金膏寄與,1
155,膏寄與青,1
156,寄與青眼,1
157,與青眼郎,1
158,青眼郎路,1
159,眼郎路遠,1
160,郎路遠莫,1
161,路遠莫知,1
162,遠莫知意,1
163,莫知意水,1
164,知意水深,1
165,意水深天,1
166,水深天蒼,1
167,深天蒼蒼,1
