排名,詞彙,出現次數
1,南宮初開,1
2,宮初開律,1
3,初開律金,1
4,開律金風,1
5,律金風已,1
6,金風已戒,1
7,風已戒涼,1
8,已戒涼拜,1
9,戒涼拜陵,1
10,涼拜陵將,1
11,拜陵將展,1
12,陵將展敬,1
13,將展敬車,1
14,展敬車輅,1
15,敬車輅儼,1
16,車輅儼成,1
17,輅儼成行,1
18,儼成行士,1
19,成行士庶,1
20,行士庶觀,1
21,士庶觀祠,1
22,庶觀祠禮,1
23,觀祠禮公,1
24,祠禮公卿,1
25,禮公卿習,1
26,公卿習舊,1
27,卿習舊章,1
28,習舊章郊,1
29,舊章郊原,1
30,章郊原佳,1
31,郊原佳氣,1
32,原佳氣引,1
33,佳氣引園,1
34,氣引園寢,1
35,引園寢瑞,1
36,園寢瑞煙,1
37,寢瑞煙長,1
38,瑞煙長鹵,1
39,煙長鹵簿,1
40,長鹵簿辭,1
41,鹵簿辭丹,1
42,簿辭丹闕,1
43,辭丹闕威,1
44,丹闕威儀,1
45,闕威儀列,1
46,威儀列太,1
47,儀列太常,1
48,列太常聖,1
49,太常聖心,1
50,常聖心何,1
51,聖心何所,1
52,心何所寄,1
53,何所寄惟,1
54,所寄惟德,1
55,寄惟德在,1
56,惟德在無,1
57,德在無忘,1
