排名,詞彙,出現次數
1,大君敦宴,1
2,君敦宴賞,1
3,敦宴賞萬,1
4,宴賞萬乘,1
5,賞萬乘下,1
6,萬乘下樑,1
7,乘下樑園,1
8,下樑園酒,1
9,樑園酒助,1
10,園酒助閑,1
11,酒助閑平,1
12,助閑平樂,1
13,閑平樂人,1
14,平樂人沾,1
15,樂人沾雨,1
16,人沾雨露,1
17,沾雨露恩,1
18,雨露恩榮,1
19,露恩榮光,1
20,恩榮光開,1
21,榮光開帳,1
22,光開帳殿,1
23,開帳殿佳,1
24,帳殿佳氣,1
25,殿佳氣滿,1
26,佳氣滿旌,1
27,氣滿旌門,1
28,滿旌門願,1
29,旌門願陪,1
30,門願陪南,1
31,願陪南嶽,1
32,陪南嶽壽,1
33,南嶽壽長,1
34,嶽壽長奉,1
35,壽長奉北,1
36,長奉北宸,1
37,奉北宸樽,1
38,北宸樽別,1
39,宸樽別殿,1
40,樽別殿秋,1
41,別殿秋雲,1
42,殿秋雲上,1
43,秋雲上離,1
44,雲上離宮,1
45,上離宮夏,1
46,離宮夏景,1
47,宮夏景移,1
48,夏景移寒,1
49,景移寒風,1
50,移寒風生,1
51,寒風生玉,1
52,風生玉樹,1
53,生玉樹涼,1
54,玉樹涼氣,1
55,樹涼氣下,1
56,涼氣下瑤,1
57,氣下瑤池,1
58,下瑤池塹,1
59,瑤池塹花,1
60,池塹花仍,1
61,塹花仍吐,1
62,花仍吐葉,1
63,仍吐葉岩,1
64,吐葉岩木,1
65,葉岩木尚,1
66,岩木尚抽,1
67,木尚抽枝,1
68,尚抽枝願,1
69,抽枝願奉,1
70,枝願奉南,1
71,願奉南山,1
72,奉南山壽,1
73,南山壽千,1
74,山壽千秋,1
75,壽千秋長,1
76,千秋長若,1
77,秋長若斯,1
