排名,詞彙,出現次數
1,山連河水,1
2,連河水碧,1
3,河水碧氛,1
4,水碧氛氳,1
5,碧氛氳瑞,1
6,氛氳瑞氣,1
7,氳瑞氣東,1
8,瑞氣東移,1
9,氣東移擁,1
10,東移擁聖,1
11,移擁聖君,1
12,擁聖君秦,1
13,聖君秦苑,1
14,君秦苑有,1
15,秦苑有花,1
16,苑有花空,1
17,有花空笑,1
18,花空笑日,1
19,空笑日漢,1
20,笑日漢陵,1
21,日漢陵無,1
22,漢陵無主,1
23,陵無主自,1
24,無主自侵,1
25,主自侵雲,1
26,自侵雲古,1
27,侵雲古槐,1
28,雲古槐堤,1
29,古槐堤上,1
30,槐堤上鶯,1
31,堤上鶯千,1
32,上鶯千囀,1
33,鶯千囀遠,1
34,千囀遠渚,1
35,囀遠渚沙,1
36,遠渚沙中,1
37,渚沙中鷺,1
38,沙中鷺一,1
39,中鷺一群,1
40,鷺一群賴,1
41,一群賴與,1
42,群賴與淵,1
43,賴與淵明,1
44,與淵明同,1
45,淵明同把,1
46,明同把菊,1
47,同把菊煙,1
48,把菊煙郊,1
49,菊煙郊西,1
50,煙郊西望,1
51,郊西望夕,1
52,西望夕陽,1
53,望夕陽曛,1
