排名,詞彙,出現次數
1,獨淩清景,1
2,淩清景出,1
3,清景出下,1
4,景出下視,1
5,出下視眾,1
6,下視眾山,1
7,視眾山中,1
8,眾山中雲,1
9,山中雲日,1
10,中雲日遙,1
11,雲日遙相,1
12,日遙相對,1
13,遙相對川,1
14,相對川原,1
15,對川原無,1
16,川原無不,1
17,原無不通,1
18,無不通自,1
19,不通自致,1
20,通自致高,1
21,自致高標,1
22,致高標末,1
23,高標末何,1
24,標末何心,1
25,末何心待,1
26,何心待馭,1
27,心待馭風,1
28,待馭風宛,1
29,馭風宛演,1
30,風宛演橫,1
31,宛演橫半,1
32,演橫半規,1
33,橫半規穹,1
34,半規穹崇,1
35,規穹崇翠,1
36,穹崇翠微,1
37,崇翠微上,1
38,翠微上雲,1
39,微上雲扃,1
40,上雲扃掩,1
41,雲扃掩苔,1
42,扃掩苔石,1
43,掩苔石千,1
44,苔石千古,1
45,石千古無,1
46,千古無人,1
47,古無人賞,1
48,無人賞寧,1
49,人賞寧知,1
50,賞寧知後,1
51,寧知後賢,1
52,知後賢心,1
53,後賢心登,1
54,賢心登此,1
55,心登此共,1
56,登此共來,1
57,此共來往,1
58,共來往仙,1
59,來往仙弈,1
60,往仙弈示,1
61,仙弈示樵,1
62,弈示樵夫,1
63,示樵夫能,1
64,樵夫能言,1
65,夫能言忘,1
66,能言忘歸,1
67,言忘歸路,1
68,忘歸路因,1
69,歸路因看,1
70,路因看斧,1
71,因看斧柯,1
72,看斧柯爛,1
73,斧柯爛孫,1
74,柯爛孫子,1
75,爛孫子發,1
76,孫子發已,1
77,子發已素,1
78,發已素孰,1
79,已素孰雲,1
80,素孰雲遺,1
81,孰雲遺跡,1
82,雲遺跡久,1
83,遺跡久舉,1
84,跡久舉意,1
85,久舉意如,1
86,舉意如旦,1
87,意如旦暮,1
88,如旦暮仙,1
89,旦暮仙僧,1
90,暮仙僧會,1
91,仙僧會真,1
92,僧會真要,1
93,會真要應,1
94,真要應物,1
95,要應物常,1
96,應物常淵,1
97,物常淵默,1
98,常淵默惟,1
99,淵默惟將,1
100,默惟將無,1
101,惟將無住,1
102,將無住理,1
103,無住理轉,1
104,住理轉與,1
105,理轉與信,1
106,轉與信人,1
107,與信人說,1
108,信人說月,1
109,人說月影,1
110,說月影清,1
111,月影清江,1
112,影清江中,1
113,清江中可,1
114,江中可觀,1
115,中可觀不,1
116,可觀不可,1
117,觀不可得,1
