排名,詞彙,出現次數
1,杜郵館細腰宮,1
2,郵館細腰宮瑤,1
3,館細腰宮瑤台,1
4,細腰宮瑤台吳,1
5,腰宮瑤台吳阪,1
6,宮瑤台吳阪箕,1
7,瑤台吳阪箕山,1
8,台吳阪箕山息,1
9,吳阪箕山息國,1
10,阪箕山息國梁,1
11,箕山息國梁寺,1
12,山息國梁寺南,1
13,息國梁寺南陽,1
14,國梁寺南陽杞,1
15,梁寺南陽杞梁,1
16,寺南陽杞梁墓,1
17,南陽杞梁墓夷,1
18,陽杞梁墓夷門,1
19,杞梁墓夷門汴,1
20,梁墓夷門汴河,1
21,墓夷門汴河燕,1
22,夷門汴河燕台,1
23,門汴河燕台聊,1
24,汴河燕台聊城,1
25,河燕台聊城西,1
26,燕台聊城西河,1
27,台聊城西河密,1
28,聊城西河密縣,1
29,城西河密縣升,1
30,西河密縣升仙,1
31,河密縣升仙橋,1
32,密縣升仙橋破,1
33,縣升仙橋破陳,1
34,升仙橋破陳白,1
35,仙橋破陳白頭,1
36,橋破陳白頭吟,1
37,破陳白頭吟短,1
38,陳白頭吟短歌,1
39,白頭吟短歌吟,1
40,頭吟短歌吟晉,1
41,吟短歌吟晉河,1
42,短歌吟晉河幹,1
43,歌吟晉河幹將,1
44,吟晉河幹將墓,1
45,晉河幹將墓金,1
46,河幹將墓金谷,1
47,幹將墓金谷三,1
48,將墓金谷三閭,1
49,墓金谷三閭廟,1
50,金谷三閭廟易,1
51,谷三閭廟易水,1
52,三閭廟易水嚴,1
53,閭廟易水嚴陵,1
54,廟易水嚴陵台,1
55,易水嚴陵台淮,1
56,水嚴陵台淮陰,1
57,嚴陵台淮陰雞,1
58,陵台淮陰雞鳴,1
59,台淮陰雞鳴曲,1
60,淮陰雞鳴曲采,1
61,陰雞鳴曲采桑,1
62,雞鳴曲采桑婦,1
63,鳴曲采桑婦漁,1
64,曲采桑婦漁父,1
65,采桑婦漁父越,1
66,桑婦漁父越女,1
67,婦漁父越女望,1
68,漁父越女望思,1
69,父越女望思台,1
70,越女望思台比,1
71,女望思台比干,1
72,望思台比干墓,1
73,思台比干墓郢,1
74,台比干墓郢中,1
75,比干墓郢中北,1
76,干墓郢中北海,1
77,墓郢中北海招,1
78,郢中北海招屈,1
79,中北海招屈亭,1
80,北海招屈亭屈,1
81,海招屈亭屈祠,1
82,招屈亭屈祠銅,1
83,屈亭屈祠銅雀,1
84,亭屈祠銅雀台,1
85,屈祠銅雀台斑,1
86,祠銅雀台斑竹,1
87,銅雀台斑竹祠,1
88,雀台斑竹祠題,1
89,台斑竹祠題李,1
90,斑竹祠題李太,1
91,竹祠題李太尉,1
92,祠題李太尉平,1
93,題李太尉平泉,1
94,李太尉平泉莊,1
95,太尉平泉莊戰,1
96,尉平泉莊戰城,1
97,平泉莊戰城南,1
98,泉莊戰城南延,1
99,莊戰城南延平,1
100,戰城南延平津,1
101,城南延平津項,1
102,南延平津項亭,1
103,延平津項亭烏,1
104,平津項亭烏江,1
105,津項亭烏江綠,1
106,項亭烏江綠珠,1
107,亭烏江綠珠升,1
108,烏江綠珠升仙,1
109,江綠珠升仙橋,1
110,綠珠升仙橋隋,1
111,珠升仙橋隋柳,1
112,升仙橋隋柳楊,1
113,仙橋隋柳楊柳,1
114,橋隋柳楊柳桐,1
115,隋柳楊柳桐江,1
116,柳楊柳桐江招,1
117,楊柳桐江招隱,1
118,柳桐江招隱陳,1
119,桐江招隱陳宮,1
120,江招隱陳宮樊,1
121,招隱陳宮樊將,1
122,隱陳宮樊將軍,1
123,陳宮樊將軍廟,1
124,宮樊將軍廟東,1
125,樊將軍廟東海,1
126,將軍廟東海昭,1
127,軍廟東海昭君,1
128,廟東海昭君五,1
129,東海昭君五湖,1
130,海昭君五湖澠,1
131,昭君五湖澠池,1
132,君五湖澠池函,1
133,五湖澠池函谷,1
134,湖澠池函谷關,1
135,澠池函谷關詠,1
136,池函谷關詠酒,1
137,函谷關詠酒二,1
138,谷關詠酒二首,1
139,關詠酒二首蒼,1
140,詠酒二首蒼頡,1
141,酒二首蒼頡台,1
142,二首蒼頡台長,1
143,首蒼頡台長城,1
