排名,詞彙,出現次數
1,擬古西征,1
2,古西征軍,1
3,西征軍行,1
4,征軍行遇,1
5,軍行遇風,1
6,行遇風塞,1
7,遇風塞垣,1
8,風塞垣行,1
9,塞垣行登,1
10,垣行登東,1
11,行登東陽,1
12,登東陽沈,1
13,東陽沈隱,1
14,陽沈隱侯,1
15,沈隱侯八,1
16,隱侯八詠,1
17,侯八詠樓,1
18,八詠樓從,1
19,詠樓從軍,1
20,樓從軍行,1
21,從軍行和,1
22,軍行和宋,1
23,行和宋之,1
24,和宋之問,1
25,宋之問寒,1
26,之問寒食,1
27,問寒食題,1
28,寒食題黃,1
29,食題黃梅,1
30,題黃梅臨,1
31,黃梅臨江,1
32,梅臨江驛,1
33,臨江驛留,1
34,江驛留別,1
35,驛留別杜,1
36,留別杜審,1
37,別杜審言,1
38,杜審言並,1
39,審言並呈,1
40,言並呈洛,1
41,並呈洛中,1
42,呈洛中舊,1
43,洛中舊游,1
44,中舊游詠,1
45,舊游詠寶,1
46,游詠寶劍,1
47,詠寶劍吳,1
48,寶劍吳中,1
49,劍吳中好,1
50,吳中好風,1
51,中好風景,1
52,好風景則,1
53,風景則天,1
54,景則天皇,1
55,則天皇後,1
56,天皇後挽,1
57,皇後挽歌,1
58,後挽歌二,1
59,挽歌二首,1
60,歌二首戶,1
61,二首戶部,1
62,首戶部尚,1
63,戶部尚書,1
64,部尚書崔,1
65,尚書崔公,1
66,書崔公挽,1
67,崔公挽歌,1
68,公挽歌韋,1
69,挽歌韋長,1
70,歌韋長史,1
71,韋長史挽,1
72,長史挽詞,1
73,史挽詞和,1
74,挽詞和梁,1
75,詞和梁王,1
76,和梁王眾,1
77,梁王眾傳,1
78,王眾傳張,1
79,眾傳張光,1
80,傳張光祿,1
81,張光祿是,1
82,光祿是王,1
83,祿是王子,1
84,是王子晉,1
85,王子晉後,1
86,子晉後身,1
87,晉後身哭,1
88,後身哭蔣,1
89,身哭蔣詹,1
90,哭蔣詹事,1
91,蔣詹事儼,1
92,詹事儼嵩,1
93,事儼嵩山,1
94,儼嵩山石,1
95,嵩山石淙,1
96,山石淙侍,1
97,石淙侍宴,1
98,淙侍宴應,1
99,侍宴應制,1
100,宴應制塞,1
101,應制塞上,1
102,制塞上寄,1
103,塞上寄內,1
